arm,opponent,game_index,seat,outcome,end_reason,turns,candidate_prize_remaining,opponent_prize_remaining
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,196,first,loss,NO_BENCH,38,6,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,195,second,loss,PRIZES,145,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,197,second,loss,PRIZES,138,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,199,second,loss,PRIZES,83,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,198,first,loss,PRIZES,146,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,200,first,loss,PRIZES,136,4,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,201,second,win,PRIZES,132,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,202,first,loss,PRIZES,115,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,203,second,win,PRIZES,137,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,205,second,loss,PRIZES,130,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,204,first,win,PRIZES,138,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,206,first,loss,PRIZES,122,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,209,second,win,NO_BENCH,43,4,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,208,first,loss,NO_BENCH,35,6,5
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,207,second,loss,PRIZES,95,6,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,211,second,loss,PRIZES,120,5,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,212,first,loss,PRIZES,153,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,213,second,loss,PRIZES,138,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,210,first,win,PRIZES,144,0,2
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,214,first,win,PRIZES,116,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,215,second,win,PRIZES,131,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,216,first,win,PRIZES,125,0,6
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,218,first,loss,PRIZES,162,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,217,second,loss,PRIZES,153,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,219,second,loss,PRIZES,153,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,220,first,loss,PRIZES,147,1,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,221,second,loss,PRIZES,121,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,223,second,loss,PRIZES,149,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,222,first,loss,PRIZES,149,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,224,first,loss,PRIZES,133,2,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,225,second,loss,PRIZES,135,3,0
BASELINE,tb_567ea9be_llccqq624_ptcg-alakazam-marniebelief-0723-a,226,first,loss,PRIZES,116,3,0
