opponent,arm,game_index,seat,outcome
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,250,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,251,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,252,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,253,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,254,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,255,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,256,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,257,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,258,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,259,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,260,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,261,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,262,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,263,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,264,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,265,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,266,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,267,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,268,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,269,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,270,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,271,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,272,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,273,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,274,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,275,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,276,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,277,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,278,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,279,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,280,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,281,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,282,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,283,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,284,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,285,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,286,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,287,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,288,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,289,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,290,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,291,second,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,292,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,293,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,294,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,295,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,296,first,win
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,297,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,298,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,299,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,300,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,301,second,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,302,first,loss
tb_c61e540b_tetsutani_grimmsnarl-ex-damage-transfer-control,OFF,303,second,loss
